Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,LADWP - Truesdale Center,11797 Truesdale St,,Sun Valley,CA,91352,,,E,,Private,Fleet use only,,,,,,39,3,,Non-Networked,,GPS,34.2483191527193,-118.3879713743439,2021-07-14,1517,2021-07-14 18:51:43 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,LADWP - West LA District Office,1394 S Sepulveda Blvd,,Los Angeles,CA,90024,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,34.052542,-118.448504,2021-07-14,1519,2021-07-14 18:51:43 UTC,LG,,,2020-02-28,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,Free,,,,,,,,,,
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,24 hours daily; pay lot,,,,,,12,,,Non-Networked,,GPS,34.040539,-118.271387,2020-11-09,1523,2021-03-11 23:22:17 UTC,P,,,1995-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,,E,,Private,For fleet and employee use only,,,,,,311,2,,Non-Networked,,GPS,34.059133,-118.248589,2021-07-14,1525,2021-07-14 18:51:43 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,,Long Beach,CA,90803,,,E,,Private,Fleet use only,,,,,,19,1,,Non-Networked,,GPS,33.759802,-118.096665,2021-07-14,1531,2021-07-14 18:51:43 UTC,LG,,,2018-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,State Capitol Parking Garage,1303 10th St,At 12th and N St,Sacramento,CA,95814,,,E,,Private - Government only,Permitted state legislators only,Comdata,,,,,9,,1 LP Inductive  1 SP Inductive  1 Avcon Conductive  1 Other Conductive,Non-Networked,,200-8,38.576769,-121.495022,2021-12-09,1533,2021-12-09 15:02:43 UTC,SG,,,1996-10-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,PARKING_GARAGE,,,,,,,,,,,,,,,,,
ELEC,LADWP - Harbor Generating Station,161 N Island Ave,At B St,Wilmington,CA,90744,,,E,,Private,Fleet use only,,,,,,10,,,Non-Networked,,200-8,33.770508,-118.265628,2021-07-14,1552,2021-07-14 18:51:43 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,LADWP - Sylmar West,13201 Sepulveda Blvd,,Sylmar,CA,91342,,,E,,Private - Government only,Fleet use only,,,,,,2,,,Non-Networked,,200-8,34.30309,-118.480505,2021-07-14,1556,2021-07-14 18:51:43 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,LADWP - EV Service Center,1630 N Main St,,Los Angeles,CA,90012,,,E,,Private,Fleet and employee use only,,,,,,46,1,,Non-Networked,,200-8,34.066801,-118.227605,2021-07-14,1572,2021-07-14 18:51:43 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,,Los Angeles,CA,90016,,,E,,Private,Fleet use only,,,,,,13,,,Non-Networked,,200-8,34.036777,-118.368841,2021-07-14,1573,2021-07-14 18:51:43 UTC,LG,,,2019-04-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,California Air Resources Board,9530 Telstar Ave,,El Monte,CA,91731,,626-575-6800,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,GPS,34.06872,-118.064,2021-10-12,1583,2021-10-12 12:58:36 UTC,SG,,,1996-10-15,,,,,J1772,US,,,,Public,,public,,,STATE_GOV,,,,,,,Free,,,,,,,,,,
ELEC,LADWP - Palmetto Center,1212 Palmetto St,,Los Angeles,CA,90013,,,E,,Private,Fleet use only,,,,,,10,,,Non-Networked,,GPS,34.039736,-118.236065,2021-07-14,1589,2021-07-14 18:51:43 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.89947,-117.243,2021-07-14,6355,2021-07-14 18:51:43 UTC,P,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Pay to Park,,,,,,,,,,
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2021-12-09,6405,2021-12-09 15:02:43 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4,,,Non-Networked,,GPS,33.909914,-117.459053,2020-02-06,6425,2021-03-11 23:22:17 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,16,,,Non-Networked,,200-8,34.14762,-118.147111,2022-01-10,6505,2022-01-10 14:12:23 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,GPS,34.145138,-118.152655,2020-12-03,6506,2021-03-11 23:22:17 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-8,34.145119,-118.150133,2020-12-03,6507,2021-03-11 23:22:17 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,
ELEC,Pasadena Hilton,150 S Los Robles,Located at valet and self parking,Pasadena,CA,91101,,626-577-1000,E,,Public,24 hours daily; for guest use only; valet fee,,,,,,4,,,Non-Networked,,200-9,34.142973,-118.140553,2021-11-04,6508,2021-12-06 18:36:15 UTC,P,,,1997-08-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free; parking fee,,,,,,,,,,
ELEC,Bristol Farms,606 Fair Oaks Ave,,South Pasadena,CA,91030,,626-441-5450,E,,Public,24 hours daily,,,,,,,,1 LP Inductive,Non-Networked,,200-9,34.118433,-118.149597,2021-07-14,6509,2021-07-14 18:51:43 UTC,P,,,1997-08-31,,,,,,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2021-01-14,7172,2021-03-11 23:22:17 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2020-07-13,7184,2021-03-11 23:22:17 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,
